,Price,Area,Location,No. of Bedrooms,City
15054,24500000,2062,Anna Nagar,3,Chennai
15067,23000000,1580,other,3,Chennai
15073,5088000,960,Rajakilpakkam,2,Chennai
15074,4679000,883,Rajakilpakkam,2,Chennai
15075,7541000,1423,Sembakkam,3,Chennai
15076,6476000,1222,Sembakkam,3,Chennai
15077,5088000,960,Sembakkam,2,Chennai
15078,4679000,883,Sembakkam,2,Chennai
15084,3104000,640,Selaiyur,1,Chennai
15090,3104000,640,Selaiyur,1,Chennai
15094,4810000,1040,Madambakkam,2,Chennai
15095,4347000,940,Madambakkam,2,Chennai
15096,4120000,891,Madambakkam,2,Chennai
15097,2474000,535,Madambakkam,1,Chennai
15098,6425000,1285,Sembakkam,3,Chennai
15101,5203000,946,Ambattur,2,Chennai
15102,4708000,856,Ambattur,2,Chennai
15103,5318000,967,Ambattur,2,Chennai
15104,2975000,541,Ambattur,1,Chennai
15105,2343000,426,Ambattur,1,Chennai
15106,3888000,707,Ambattur,2,Chennai
15107,3888000,707,Ambattur,2,Chennai
15111,2311000,578,Avadi,1,Chennai
15114,2279000,570,Avadi,1,Chennai
15117,3160000,660,Nanmangalam,1,Chennai
15118,6580000,941,Chromepet,2,Chennai
15119,3315999,809,Ullagaram,2,Chennai
15120,7000000,924,Chromepet,2,Chennai
15125,6230000,1198,Nanmangalam,3,Chennai
15127,3315999,809,Ullagaram,2,Chennai
15128,7000000,924,Chromepet,2,Chennai
15130,6230000,1198,Nanmangalam,3,Chennai
15132,2960000,619,Nanmangalam,1,Chennai
15133,5200000,1002,Sunnambu Kolathur S Kolathur,2,Chennai
15135,5345000,1028,Sunnambu Kolathur S Kolathur,2,Chennai
15142,5798000,1115,Nanmangalam,3,Chennai
15143,6224000,1197,Nanmangalam,3,Chennai
15147,6230000,1198,Nanmangalam,3,Chennai
15150,10000000,1293,Adambakkam,3,Chennai
15161,5200000,952,Sunnambu Kolathur S Kolathur,2,Chennai
15163,2200000,460,other,1,Chennai
15165,3946000,877,Madhavaram,2,Chennai
15166,3510000,780,Madhavaram,2,Chennai
15167,5599000,1018,Sholinganallur,2,Chennai
15168,5500000,1000,Sholinganallur,2,Chennai
15169,5775000,1050,Sholinganallur,2,Chennai
15170,6050000,1100,Sholinganallur,2,Chennai
15172,2600000,570,Thiruverkadu,1,Chennai
15178,5221000,952,Manikandan Nagar,2,Chennai
15179,6300000,1060,Sholinganallur,2,Chennai
15180,5100000,930,Kilkattalai,2,Chennai
15181,4994000,910,Ullagaram,2,Chennai
15188,2850000,600,Ambattur,2,Chennai
15192,2777000,571,Thiruverkadu,1,Chennai
15193,2703000,555,Thiruverkadu,1,Chennai
15195,2740000,563,Thiruverkadu,1,Chennai
15198,2763000,568,Thiruverkadu,1,Chennai
15200,2726000,560,Thiruverkadu,1,Chennai
15201,11000000,1217,Velachery,2,Chennai
15206,5200000,1147,Padur,2,Chennai
15207,7200000,962,Rajakilpakkam,2,Chennai
15208,17600000,2150,Navallur,3,Chennai
15209,11500000,1525,Navallur,3,Chennai
15213,13600000,1765,Navallur,3,Chennai
15214,10400000,1524,Navallur,3,Chennai
15215,10500000,1525,Navallur,3,Chennai
15216,3199000,610,Iyyappanthangal,1,Chennai
15225,5400000,1020,Maduravoyal,2,Chennai
15226,5400000,1045,Maduravoyal,2,Chennai
15227,5400000,1045,Maduravoyal,2,Chennai
15228,5400000,1045,Maduravoyal,2,Chennai
15229,5698000,1020,Maduravoyal,2,Chennai
15230,5700000,1020,Maduravoyal,2,Chennai
15231,5800000,1075,Maduravoyal,2,Chennai
15232,5400000,1020,Maduravoyal,2,Chennai
15233,5400000,1020,Maduravoyal,2,Chennai
15234,5450000,1045,Maduravoyal,2,Chennai
15235,5700000,1020,Maduravoyal,2,Chennai
15236,17000000,2475,Iyappanthangal,4,Chennai
15240,16399999,1704,Virugambakkam,3,Chennai
15241,14000000,1464,Virugambakkam,3,Chennai
15242,14000000,1464,Virugambakkam,3,Chennai
15244,6100000,1093,Peerakankaranai,2,Chennai
15245,6000000,1066,Peerakankaranai,2,Chennai
15246,5500000,984,Peerakankaranai,2,Chennai
15247,5400000,947,Peerakankaranai,2,Chennai
15248,6700000,1228,Peerakankaranai,2,Chennai
15250,6000000,1367,Kelambakkam,2,Chennai
15251,10300000,1740,Poonamallee,3,Chennai
15252,10300000,1740,Poonamallee,3,Chennai
15253,8700000,1500,Poonamallee,3,Chennai
15255,13500000,1825,Iyappanthangal,3,Chennai
15256,17000000,2150,Navallur,3,Chennai
15259,17000000,2451,Navallur,3,Chennai
15261,10000000,1445,Navallur,3,Chennai
15262,11000000,1435,Navallur,3,Chennai
15263,30000000,3487,Navallur,3,Chennai
15265,8100000,1460,Sunnambu Kolathur S Kolathur,3,Chennai
15266,5300000,952,Sunnambu Kolathur S Kolathur,2,Chennai
15267,4800000,910,Sunnambu Kolathur S Kolathur,2,Chennai
15268,3300000,570,Sunnambu Kolathur S Kolathur,1,Chennai
15269,15000000,1888,Perungudi,3,Chennai
15270,13500000,1665,Perungudi,3,Chennai
15275,7900000,1286,Thoraipakkam OMR,2,Chennai
15276,6500000,1112,Velappanchavadi,2,Chennai
15302,9900000,1100,T Nagar,3,Chennai
15304,6600000,1110,Sholinganallur,2,Chennai
15305,6600000,1110,Sholinganallur,2,Chennai
15306,6300000,1060,Sholinganallur,2,Chennai
15307,5900000,980,Sholinganallur,2,Chennai
15315,190000000,7240,Nungambakkam,5,Chennai
15316,150000000,5777,Nungambakkam,5,Chennai
15317,90000000,3800,Nungambakkam,4,Chennai
15318,90000000,3800,Nungambakkam,4,Chennai
15321,4300000,591,Perambur,1,Chennai
15328,127000000,6500,other,5,Chennai
15329,57500000,2958,other,4,Chennai
15330,23000000,1200,other,2,Chennai
15331,11500000,600,other,1,Chennai
15338,6300000,1060,Sholinganallur,2,Chennai
15339,5900000,980,Sholinganallur,2,Chennai
15341,3400000,545,Iyappanthangal,1,Chennai
15342,3400000,545,Iyappanthangal,1,Chennai
15344,32000000,1624,T Nagar,3,Chennai
15345,15600000,1161,Anna Nagar,3,Chennai
15346,11200000,1796,Sholinganallur,3,Chennai
15347,11200000,1796,Sholinganallur,3,Chennai
15349,3100000,610,Madipakkam,1,Chennai
15350,3100000,610,Madipakkam,1,Chennai
15352,3069000,614,Kovur,1,Chennai
15354,3069000,614,Kovur,1,Chennai
15356,6750000,1140,Sholinganallur,2,Chennai
15357,6350000,1070,Sholinganallur,2,Chennai
15358,6300000,1065,Sholinganallur,2,Chennai
15359,6600000,1120,Sholinganallur,2,Chennai
15360,3409000,909,Guduvancheri,2,Chennai
15361,3242000,861,Guduvancheri,2,Chennai
15362,5900000,980,Sholinganallur,2,Chennai
15363,5900000,980,Sholinganallur,2,Chennai
15364,3180000,595,Kilkattalai,1,Chennai
15365,3127000,590,Manikandan Nagar,1,Chennai
15366,6600000,1110,Sholinganallur,2,Chennai
15367,6500000,1090,Sholinganallur,2,Chennai
15368,6500000,1090,Sholinganallur,2,Chennai
15369,5150000,956,Kilkattalai,2,Chennai
15370,3050000,574,Sunnambu Kolathur S Kolathur,1,Chennai
15371,7650000,1468,Ullagaram,3,Chennai
15372,7650000,1468,Ullagaram,3,Chennai
15376,6550000,1256,Sunnambu Kolathur S Kolathur,2,Chennai
15377,6600000,1254,Kilkattalai,2,Chennai
15378,6600000,1252,Kovilambakkam,2,Chennai
15379,6450000,1220,Sunnambu Kolathur S Kolathur,2,Chennai
15380,5900000,980,Sholinganallur,2,Chennai
15381,5900000,980,Sholinganallur,2,Chennai
15382,3180000,595,Kilkattalai,1,Chennai
15383,3127000,590,Manikandan Nagar,1,Chennai
15384,3021000,570,Ullagaram,1,Chennai
15389,16500000,2345,Navallur,4,Chennai
15391,11000000,1691,Sholinganallur,2,Chennai
15392,6800000,1140,Iyappanthangal,1,Chennai
15395,12200000,1825,Iyappanthangal,3,Chennai
15405,6176000,1123,Nanmangalam,3,Chennai
15420,34000000,2380,Adyar,4,Chennai
15421,19000000,1913,Virugambakkam,3,Chennai
15422,13200000,2089,Ayanambakkam,4,Chennai
15423,15700000,1970,Navallur,3,Chennai
15424,5011000,802,Manikandan Nagar,2,Chennai
15425,4449000,802,Manikandan Nagar,2,Chennai
15426,5440000,880,Manikandan Nagar,2,Chennai
15427,5747000,1045,Manikandan Nagar,2,Chennai
15428,4674000,867,Manikandan Nagar,2,Chennai
15429,4674000,867,Manikandan Nagar,2,Chennai
15430,4771000,994,Kovilambakkam,2,Chennai
15433,4425000,750,Kovilambakkam,2,Chennai
15434,4731000,810,Kovilambakkam,2,Chennai
15435,4731000,810,Kovilambakkam,2,Chennai
15461,5551000,882,Kilkattalai,2,Chennai
15462,5115000,883,Kilkattalai,2,Chennai
15463,6132000,1022,Kilkattalai,2,Chennai
15464,5027000,914,Kilkattalai,2,Chennai
15465,5255000,931,Kilkattalai,2,Chennai
15466,5435000,947,Kilkattalai,2,Chennai
15471,8000000,1288,Karapakkam,1,Chennai
15472,4500000,873,Pozhichalur,2,Chennai
15473,27500000,2456,Perungudi,3,Chennai
15474,27500000,2456,Perungudi,3,Chennai
15476,13000000,1990,Iyappanthangal,3,Chennai
15478,13500000,1825,Iyappanthangal,3,Chennai
15480,31500000,2680,Velachery,4,Chennai
15497,16500000,1055,T Nagar,2,Chennai
15499,4950000,791,Manikandan Nagar,2,Chennai
15500,4276000,766,Kovilambakkam,2,Chennai
15502,6648999,1209,Manikandan Nagar,2,Chennai
15503,3838000,689,Manikandan Nagar,2,Chennai
15511,4950000,791,Manikandan Nagar,2,Chennai
15512,4276000,766,Kovilambakkam,2,Chennai
15514,6648999,1209,Manikandan Nagar,2,Chennai
15515,3838000,689,Manikandan Nagar,2,Chennai
15520,4805000,821,Kilkattalai,2,Chennai
15523,5964000,994,Kilkattalai,2,Chennai
15524,5462000,884,Kilkattalai,2,Chennai
15525,5108000,920,Kilkattalai,2,Chennai
15526,5108000,920,Kilkattalai,2,Chennai
15542,2950000,576,Mevalurkuppam,1,Chennai
15543,2950000,576,Mevalurkuppam,1,Chennai
15544,2650000,670,Maraimalai Nagar,2,Chennai
15548,3089000,618,Porur,1,Chennai
15560,2246000,624,Singaperumal Koil,1,Chennai
15562,3461000,845,Kattankulathur,2,Chennai
15565,11500000,2021,Navallur,4,Chennai
15568,10300000,1699,Navallur,3,Chennai
15569,2091000,581,Singaperumal Koil,1,Chennai
15572,6237000,1367,Kelambakkam,2,Chennai
15573,6100000,1337,Kelambakkam,2,Chennai
15575,2000000,625,Maraimalai Nagar,2,Chennai
15576,51600000,2348,Alwarpet,3,Chennai
15577,61600000,2800,Alwarpet,4,Chennai
15578,54400000,2476,Alwarpet,3,Chennai
15579,61100000,2781,Alwarpet,4,Chennai
15580,59600000,2713,Alwarpet,4,Chennai
15581,52800000,2400,Alwarpet,3,Chennai
15583,4109000,1002,Kelambakkam,2,Chennai
15584,4102000,1000,Kelambakkam,2,Chennai
15590,4283000,1048,Kelambakkam,2,Chennai
15591,4336000,1062,Kelambakkam,2,Chennai
15592,4521000,962,Ullagaram,2,Chennai
15594,3306000,538,Karapakkam,1,Chennai
15607,3372999,549,Karapakkam,1,Chennai
15611,3992000,868,Ullagaram,2,Chennai
15612,23400000,2275,Thoraipakkam OMR,4,Chennai
15613,17900000,1701,Thoraipakkam OMR,3,Chennai
15614,20900000,2022,Thoraipakkam OMR,3,Chennai
15615,6200000,708,Thoraipakkam OMR,2,Chennai
15616,18100000,1720,Thoraipakkam OMR,3,Chennai
15617,6400000,734,Thoraipakkam OMR,2,Chennai
15618,16100000,1576,Thoraipakkam OMR,2,Chennai
15619,16700000,1636,Thoraipakkam OMR,2,Chennai
15620,13400000,1296,Thoraipakkam OMR,2,Chennai
15621,12600000,600,other,1,Chennai
15622,2496000,780,Guduvancheri,2,Chennai
15623,3300000,838,Guduvancheri,2,Chennai
15629,4004999,890,Ullagaram,2,Chennai
15632,2763000,658,Nanmangalam,1,Chennai
15633,3322000,791,Ullagaram,2,Chennai
15636,4036999,939,Ullagaram,2,Chennai
15642,27900000,1647,T Nagar,3,Chennai
15643,27599999,1624,T Nagar,3,Chennai
15644,27599999,1624,T Nagar,3,Chennai
15645,27799999,1641,T Nagar,3,Chennai
15646,27799999,1641,T Nagar,3,Chennai
15656,23700000,1532,Nungambakkam,3,Chennai
15657,23100000,1495,Nungambakkam,2,Chennai
15658,19000000,1232,Nungambakkam,2,Chennai
15664,11399999,1618,Pallavaram,3,Chennai
15665,9691000,1365,Pallavaram,3,Chennai
15669,4386000,1057,Guduvancheri,2,Chennai
15670,3500000,938,Guduvancheri,2,Chennai
15676,4152000,924,Perungalathur,2,Chennai
15677,4085000,909,Perungalathur,2,Chennai
15678,4500000,875,Maduravoyal,2,Chennai
15679,24300000,1523,Egmore,3,Chennai
15680,25500000,1594,Egmore,3,Chennai
15681,8877000,1270,Mogappair,2,Chennai
15682,8318000,1190,Mogappair,2,Chennai
15683,7966000,1122,Pallavaram,2,Chennai
15684,11700000,1653,Pallavaram,3,Chennai
15685,10900000,1540,Pallavaram,3,Chennai
15686,9549000,1345,Pallavaram,3,Chennai
15687,9549000,1345,Pallavaram,3,Chennai
15698,7113000,1355,Kolathur,2,Chennai
15699,3584000,1024,Guduvancheri,2,Chennai
15700,3429999,980,Guduvancheri,2,Chennai
15704,2385000,530,Kattupakkam,1,Chennai
15707,5000000,925,Sembakkam,2,Chennai
15708,4647000,845,Sembakkam,2,Chennai
15709,7645000,1390,tambaram west,3,Chennai
15710,4851000,882,tambaram west,2,Chennai
15711,4000000,745,tambaram west,2,Chennai
15712,4433000,806,tambaram west,2,Chennai
15714,3776000,821,Madambakkam,2,Chennai
15715,3450000,750,Madambakkam,2,Chennai
15733,5220000,900,Chromepet,2,Chennai
15734,5400000,900,Chromepet,2,Chennai
15735,5130000,855,Chromepet,2,Chennai
15736,4812000,802,Chromepet,2,Chennai
15737,3804000,885,Iyyappanthangal,2,Chennai
15738,4115000,840,Manapakkam,2,Chennai
15739,10700000,1355,Adambakkam,3,Chennai
15740,10700000,1355,Adambakkam,3,Chennai
15742,3041000,574,Manapakkam,1,Chennai
15743,4498000,849,Manapakkam,2,Chennai
15744,4859000,917,Manapakkam,2,Chennai
15747,6204000,940,Madipakkam,2,Chennai
15750,9425000,1450,Navallur,3,Chennai
15751,5550000,925,Mogappair,2,Chennai
15753,17500000,2150,Navallur,3,Chennai
15754,4887000,940,Mogappair,2,Chennai
15755,14200000,1960,Navallur,3,Chennai
15757,16500000,1980,Navallur,3,Chennai
15758,11200000,1200,Iyyappanthangal,2,Chennai
15759,6480000,1080,Mogappair,2,Chennai
