,Price,Area,Location,No. of Bedrooms,City
5821,16500000,1072,Malad East,1,Mumbai
5822,17500000,686,Malad East,1,Mumbai
5825,23200000,1115,Malad East,1,Mumbai
5826,11500000,1122,Borivali West,1,Mumbai
5828,9200000,960,Malad East,1,Mumbai
5830,9500000,760,Malad East,1,Mumbai
5832,9500000,696,Malad East,1,Mumbai
5833,7500000,594,Malad East,1,Mumbai
5834,7200000,709,Malad West,1,Mumbai
5835,3500000,800,Malad East,1,Mumbai
5836,3450000,742,Malad East,1,Mumbai
5837,3550000,552,Malad East,1,Mumbai
5838,3200000,490,Malad East,1,Mumbai
5839,4800000,607,Kalyan West,1,Mumbai
5840,29900000,625,Kalyan West,1,Mumbai
5841,37000000,607,Kalyan West,1,Mumbai
5842,12200000,600,Kalyan West,1,Mumbai
5843,12000000,800,Kalyan West,2,Mumbai
5844,29500000,1399,Goregaon West,3,Mumbai
5851,3500000,600,Kalyan West,1,Mumbai
5854,5250000,660,Nalasopara East,1,Mumbai
5855,35000000,850,Vasai east,2,Mumbai
5856,39500000,670,Nalasopara East,1,Mumbai
5857,30400000,670,Nalasopara East,1,Mumbai
5858,80000000,700,Nalasopara East,1,Mumbai
5859,58500000,1050,Nalasopara East,2,Mumbai
5860,115000000,1150,Bandra East,2,Mumbai
5861,2100000,1800,Santacruz East,3,Mumbai
5862,2400000,1100,Bandra East,2,Mumbai
5863,4425000,1980,Bandra East,3,Mumbai
5864,4489000,1700,Bandra East,3,Mumbai
5865,6998999,3000,Bandra East,4,Mumbai
5866,3125000,585,Nala Sopara,1,Mumbai
5867,3151000,585,Nala Sopara,1,Mumbai
5868,8733000,418,Virar,2,Mumbai
5869,6898999,454,Virar,2,Mumbai
5871,3925000,338,Virar,1,Mumbai
5872,5000000,372,Virar,1,Mumbai
5875,3600000,412,Virar,1,Mumbai
5877,2300000,300,Kandivali East,1,Mumbai
5879,2450000,540,Vasai east,1,Mumbai
5881,47500000,620,Nala Sopara,1,Mumbai
5882,3250000,585,Nala Sopara,1,Mumbai
5883,4000000,620,Nala Sopara,1,Mumbai
5884,6000000,620,Nala Sopara,1,Mumbai
5885,6000000,545,Nala Sopara,1,Mumbai
5887,3250000,600,Kalyan West,1,Mumbai
5888,21000000,565,Kalyan West,1,Mumbai
5889,30500000,900,Kalyan West,2,Mumbai
5890,18000000,900,Kalyan West,2,Mumbai
5892,3622000,635,Virar,1,Mumbai
5897,3892000,805,Virar,1,Mumbai
5899,2677000,830,Virar,1,Mumbai
5901,3690000,835,Virar,1,Mumbai
5903,4275000,760,Virar,1,Mumbai
5904,2520000,595,Virar,1,Mumbai
5905,4004999,630,Virar,1,Mumbai
5907,4095000,660,Virar,1,Mumbai
5909,2767000,560,Virar,1,Mumbai
5911,3645000,755,Virar,1,Mumbai
5914,4410000,615,Virar,1,Mumbai
5916,3960000,810,Virar,1,Mumbai
5918,3829999,665,Virar,1,Mumbai
5922,4907000,630,Virar,1,Mumbai
5925,2500000,690,Virar,1,Mumbai
5926,3300000,605,Nala Sopara,1,Mumbai
5927,3110000,755,Panvel,1,Mumbai
5928,3110000,620,Nalasopara West,1,Mumbai
5929,3243000,572,Vasai,1,Mumbai
5930,6600000,560,Nalasopara West,1,Mumbai
5931,5300000,650,Virar,1,Mumbai
5932,54100000,715,Virar,1,Mumbai
5933,26000000,715,Virar,1,Mumbai
5934,2950000,506,Virar,1,Mumbai
5936,3200000,615,Mira Road East,1,Mumbai
5939,27599999,630,Virar,1,Mumbai
5940,16600000,640,Virar,1,Mumbai
5941,24600000,585,Kalyan West,1,Mumbai
5943,7500000,645,Bhayandar East,1,Mumbai
5948,16100000,500,Goregaon East,1,Mumbai
5949,11500000,300,Kandivali East,1,Mumbai
5956,3185000,742,Panvel,1,Mumbai
5959,15700000,993,Panvel,1,Mumbai
5960,15200000,2621,Panvel,4,Mumbai
5961,8287000,490,Panvel,1,Mumbai
5963,13000000,530,Panvel,1,Mumbai
5964,16200000,2420,Panvel,4,Mumbai
5972,15500000,600,Thane West,1,Mumbai
5974,11500000,670,Thane West,1,Mumbai
5975,12100000,310,Kandivali East,1,Mumbai
5976,11000000,620,Nalasopara West,1,Mumbai
5978,13000000,705,Mira Road East,1,Mumbai
5980,15800000,676,Thane West,2,Mumbai
5981,37600000,616,Thane West,2,Mumbai
5982,55400000,984,Thane West,3,Mumbai
5992,6500000,730,Nala Sopara,1,Mumbai
5993,3300000,600,Nala Sopara,1,Mumbai
5994,3300000,600,Vasai east,1,Mumbai
5996,41100000,765,Vasai east,2,Mumbai
5997,20000000,1300,Nala Sopara,2,Mumbai
5998,13200000,600,Nala Sopara,1,Mumbai
5999,9300000,620,Nala Sopara,1,Mumbai
6000,16800000,620,Nala Sopara,1,Mumbai
6005,26000000,800,Chembur,2,Mumbai
6007,36000000,1525,Mira Road East,3,Mumbai
6008,33000000,1060,Mira Road East,2,Mumbai
6009,28500000,800,Chembur,2,Mumbai
6015,32900000,1050,Kandivali East,2,Mumbai
6018,36000000,994,Goregaon West,2,Mumbai
6019,5690000,657,Bhiwandi,1,Mumbai
6020,32000000,1250,Andheri West,2,Mumbai
6022,13000000,560,Mira Road East,2,Mumbai
6024,32500000,905,Thane West,2,Mumbai
6025,25500000,1113,Andheri East,3,Mumbai
6027,21800000,426,Andheri East,1,Mumbai
6028,21700000,451,Andheri East,1,Mumbai
6029,33100000,1124,Andheri East,3,Mumbai
6030,21800000,878,Andheri East,3,Mumbai
6031,25400000,678,Andheri East,2,Mumbai
6032,25600000,716,Andheri East,2,Mumbai
6033,37800000,651,Powai,2,Mumbai
6034,35100000,928,Powai,3,Mumbai
6035,32100000,642,Powai,2,Mumbai
6036,26500000,735,Powai,2,Mumbai
6037,54200000,788,Powai,2,Mumbai
6038,34600000,1094,Powai,3,Mumbai
6039,33400000,1020,Powai,3,Mumbai
6040,22200000,928,Powai,3,Mumbai
6041,27300000,772,Powai,2,Mumbai
6043,36900000,1023,Powai,3,Mumbai
6045,30000000,645,Powai,2,Mumbai
6046,59600000,733,Powai,2,Mumbai
6047,45700000,744,Powai,2,Mumbai
6048,23700000,970,Powai,3,Mumbai
6049,26200000,1235,Mira Road East,2,Mumbai
6058,16000000,650,Goregaon West,1,Mumbai
6061,17500000,625,Thane West,1,Mumbai
6065,16800000,350,Malad West,1,Mumbai
6066,40000000,1335,Belapur,2,Mumbai
6067,4900000,1290,Powai,1,Mumbai
6069,47500000,1135,Powai,2,Mumbai
6072,7500000,350,Malad West,1,Mumbai
6073,7500000,520,Kandivali West,1,Mumbai
6079,7400000,365,Nalasopara East,1,Mumbai
6080,42000000,902,Andheri East,2,Mumbai
6082,16700000,1150,Nerul,2,Mumbai
6083,6800000,550,Thane West,1,Mumbai
6084,17500000,650,Thane West,1,Mumbai
6089,5000000,1335,Belapur,2,Mumbai
6090,18800000,565,Mira Road East,1,Mumbai
6092,29900000,580,Borivali West,1,Mumbai
6093,18900000,580,Borivali West,1,Mumbai
6098,31900000,1299,Goregaon West,2,Mumbai
6099,22000000,560,Andheri East,1,Mumbai
6105,21500000,630,Powai,1,Mumbai
6111,25000000,600,Powai,1,Mumbai
6112,25600000,365,Kamothe,1,Mumbai
6120,22500000,990,Mira Road East,2,Mumbai
6121,22500000,960,Mira Road East,2,Mumbai
6122,8000000,540,Naigaon East,1,Mumbai
6123,7600000,635,Borivali West,1,Mumbai
6124,22500000,580,Borivali West,2,Mumbai
6125,27500000,935,Borivali West,2,Mumbai
6127,19500000,990,Mira Road East,2,Mumbai
6134,28500000,732,Borivali West,2,Mumbai
6135,27500000,756,Borivali West,2,Mumbai
6136,24000000,515,Borivali West,1,Mumbai
6142,9600000,600,Powai,1,Mumbai
6145,11000000,1050,other,1,Mumbai
6147,9400000,580,Borivali West,1,Mumbai
6148,16299999,580,Borivali West,1,Mumbai
6154,28500000,460,Kandivali East,1,Mumbai
6155,31500000,460,Kandivali East,1,Mumbai
6157,20000000,1050,other,1,Mumbai
6161,26500000,690,other,1,Mumbai
6167,17500000,602,Powai,1,Mumbai
6170,29000000,600,Powai,1,Mumbai
6176,8900000,555,Powai,1,Mumbai
6179,22500000,645,Ghansoli,1,Mumbai
6181,27500000,635,Borivali West,1,Mumbai
6182,22500000,580,Borivali West,2,Mumbai
6187,34500000,1196,Dahisar,3,Mumbai
6188,34000000,855,Dahisar,2,Mumbai
6191,8500000,575,Nala Sopara,1,Mumbai
6195,13500000,550,Andheri East,1,Mumbai
6196,18100000,550,Andheri East,1,Mumbai
6197,18500000,1010,Thane West,3,Mumbai
6199,18000000,570,Malad East,1,Mumbai
6203,13500000,1100,Goregaon West,1,Mumbai
6204,19500000,1100,Goregaon West,1,Mumbai
6205,28000000,1100,Goregaon West,1,Mumbai
6206,26000000,585,Powai,1,Mumbai
6208,17500000,650,Powai,1,Mumbai
6209,23500000,855,Dahisar,2,Mumbai
6212,20000000,540,Naigaon East,1,Mumbai
6213,26000000,1000,Powai,1,Mumbai
6215,9500000,650,Andheri East,1,Mumbai
6220,27500000,600,Powai,1,Mumbai
6221,26500000,1000,Powai,1,Mumbai
6227,17500000,602,Powai,1,Mumbai
6230,29000000,600,Powai,1,Mumbai
6236,18000000,555,Powai,1,Mumbai
6239,21500000,645,Ghansoli,1,Mumbai
6243,18000000,1120,Dombivali,3,Mumbai
6246,25000000,1155,Ulwe,2,Mumbai
6247,19000000,1155,Ulwe,2,Mumbai
6249,30000000,650,Borivali West,1,Mumbai
6250,21000000,590,Nala Sopara,1,Mumbai
6251,32500000,1600,Kandivali East,3,Mumbai
6253,25000000,933,Kalyan West,2,Mumbai
6255,51500000,950,Kandivali West,2,Mumbai
6259,9300000,425,other,1,Mumbai
6265,4100000,690,Karanjade,1,Mumbai
6267,22000000,750,Chembur,1,Mumbai
6268,8800000,540,Mira Road East,1,Mumbai
6269,5700000,490,Mira Road East,1,Mumbai
6270,8800000,530,Mira Road East,1,Mumbai
6271,6500000,540,Mira Road East,1,Mumbai
6274,8000000,650,Mira Road East,1,Mumbai
6276,13500000,1332,Bhiwandi,3,Mumbai
6278,20000000,576,Sanpada,1,Mumbai
6279,19500000,600,Sanpada,1,Mumbai
6284,18000000,1215,Sanpada,3,Mumbai
6286,22000000,1215,Sanpada,3,Mumbai
6287,22500000,1580,Ulwe,3,Mumbai
6288,16500000,600,Sanpada,1,Mumbai
6290,24000000,600,Sanpada,1,Mumbai
6292,31500000,1650,Sanpada,3,Mumbai
6295,25000000,1600,Sanpada,3,Mumbai
6296,15000000,960,Kalyan West,2,Mumbai
6298,6000000,560,Dahisar West,1,Mumbai
6299,6000000,560,Dahisar West,1,Mumbai
6300,8000000,600,Santacruz West,1,Mumbai
6302,5990000,695,Ulwe,1,Mumbai
6306,27500000,1140,Ulwe,2,Mumbai
6307,26100000,901,Thane West,2,Mumbai
6309,12000000,800,Virar,2,Mumbai
6313,12500000,580,Borivali West,1,Mumbai
6314,16500000,500,Borivali West,1,Mumbai
6315,3500000,550,Borivali West,1,Mumbai
6316,17700000,600,Borivali West,1,Mumbai
6318,22400000,996,Ghatkopar West,2,Mumbai
6320,16800000,650,Dronagiri,1,Mumbai
6326,15800000,676,Thane West,2,Mumbai
6328,16600000,725,Thane West,2,Mumbai
6330,28000000,641,Thane West,2,Mumbai
6331,18100000,880,Thane West,3,Mumbai
6338,7481000,640,Dronagiri,1,Mumbai
6339,6862000,774,Dombivali,1,Mumbai
6343,18500000,1197,Dombivali,3,Mumbai
6345,26000000,729,Dombivali,1,Mumbai
6346,4000000,450,Ulwe,1,Mumbai
6347,4000000,450,Ulwe,1,Mumbai
6351,30000000,640,Karanjade,1,Mumbai
6352,21000000,640,Karanjade,1,Mumbai
6354,55000000,800,Dahisar West,2,Mumbai
6358,21500000,2000,Kamothe,3,Mumbai
6365,7600000,310,Powai,1,Mumbai
6366,16800000,680,Panvel,1,Mumbai
6368,2900000,550,Thane West,1,Mumbai
6369,2850000,580,Borivali West,1,Mumbai
6373,3600000,225,Malad West,1,Mumbai
6374,18500000,225,Malad West,1,Mumbai
6378,25500000,600,Vasai,1,Mumbai
6384,2900000,575,other,1,Mumbai
6385,7400000,585,Kalyan West,1,Mumbai
6386,7500000,565,Mira Road East,1,Mumbai
6388,70000000,602,Powai,1,Mumbai
6389,18700000,225,Malad West,1,Mumbai
6390,10200000,650,Thane West,1,Mumbai
6391,4400000,580,Borivali West,1,Mumbai
6396,4700000,450,Mira Road East,1,Mumbai
6397,5800000,1017,Bhiwandi,2,Mumbai
6398,5800000,927,Bhiwandi,2,Mumbai
6400,5000000,365,Kandivali East,1,Mumbai
6401,3700000,1017,Bhiwandi,2,Mumbai
6402,8000000,1021,Bhiwandi,2,Mumbai
6403,7500000,1021,Bhiwandi,2,Mumbai
6405,5800000,1017,Bhiwandi,2,Mumbai
6406,23500000,1100,other,2,Mumbai
6408,30000000,1050,Seawoods,2,Mumbai
6409,8000000,1080,Bhiwandi,2,Mumbai
6410,5000000,1080,Bhiwandi,2,Mumbai
6412,8200000,1080,Bhiwandi,2,Mumbai
6415,5400000,700,Ulwe,1,Mumbai
6416,8800000,700,Ulwe,1,Mumbai
6418,26000000,1060,Mira Road East,2,Mumbai
6419,3900000,697,Ulwe,1,Mumbai
6420,3900000,697,Ulwe,1,Mumbai
6422,26000000,850,Thane West,2,Mumbai
6423,26000000,1050,other,2,Mumbai
6424,6800000,640,Karanjade,1,Mumbai
6425,11000000,640,Karanjade,1,Mumbai
6426,19000000,655,Kamothe,1,Mumbai
6430,25000000,550,Santacruz East,1,Mumbai
6432,4800000,495,Malad West,1,Mumbai
6433,4800000,1350,Belapur,2,Mumbai
6434,14000000,1080,Bhiwandi,2,Mumbai
6436,22000000,700,Chembur,1,Mumbai
6437,24500000,550,Mira Road East,1,Mumbai
6438,24500000,550,Mira Road East,1,Mumbai
6439,3325000,1154,Vashi,2,Mumbai
6444,40000000,665,Dombivali,1,Mumbai
6445,40000000,665,Dombivali,1,Mumbai
6446,19500000,665,Dombivali,1,Mumbai
6447,8500000,665,Dombivali,1,Mumbai
6448,6800000,665,Dombivali,1,Mumbai
6450,32000000,2250,Borivali West,4,Mumbai
6451,50000000,550,other,1,Mumbai
6452,16500000,630,Jogeshwari West,1,Mumbai
6453,20000000,574,Dahisar,1,Mumbai
6456,8000000,2500,Andheri East,6,Mumbai
6459,7000000,492,Dahisar,1,Mumbai
6460,23500000,492,Dahisar,1,Mumbai
6463,23500000,750,Kharghar,2,Mumbai
6469,33500000,1050,Ulwe,2,Mumbai
6470,24000000,709,Ambernath West,1,Mumbai
6471,3700000,727,Ulwe,1,Mumbai
6474,51500000,777,other,2,Mumbai
6476,36800000,607,Kalyan West,1,Mumbai
6477,21300000,990,Thane West,3,Mumbai
6478,30000000,1250,Mira Road East,3,Mumbai
6479,23000000,1170,other,3,Mumbai
6483,42500000,1804,Malad West,3,Mumbai
6484,42000000,1440,Malad West,2,Mumbai
6486,38000000,650,Mulund West,1,Mumbai
6487,12000000,600,Juhu,1,Mumbai
6490,6000000,700,Mira Road East,1,Mumbai
6493,8800000,600,Andheri West,1,Mumbai
6495,25800000,550,Dahisar,1,Mumbai
6497,31000000,950,Mira Road East,2,Mumbai
6498,28000000,1185,Ulwe,2,Mumbai
6501,17500000,570,Kalyan West,1,Mumbai
6503,43000000,1250,Andheri West,2,Mumbai
6505,8800000,785,Dombivli (West),1,Mumbai
6507,23200000,520,Kandivali West,1,Mumbai
6511,20000000,650,Mulund West,1,Mumbai
6512,27500000,600,Juhu,1,Mumbai
6513,2700000,350,Malad West,1,Mumbai
6518,10800000,649,Taloja,1,Mumbai
6522,8200000,605,Ghatkopar West,1,Mumbai
6524,2900000,565,Panvel,1,Mumbai
6526,8800000,565,Panvel,1,Mumbai
6527,20000000,1055,Panvel,2,Mumbai
6529,8400000,570,other,1,Mumbai
6536,22000000,1020,Panvel,2,Mumbai
6539,32500000,1050,Koper Khairane,2,Mumbai
6540,17000000,590,Thane West,1,Mumbai
6542,2150000,1001,Belapur,2,Mumbai
6545,23000000,776,Chembur,2,Mumbai
6547,2500000,465,Boisar,1,Mumbai
6549,2950000,1000,Juhu,2,Mumbai
6550,7500000,1000,Juhu,2,Mumbai
6551,4600000,725,Ambernath East,1,Mumbai
6552,4800000,600,Virar West,1,Mumbai
6553,7000000,695,Koper Khairane,1,Mumbai
6554,42500000,420,Dombivli (West),1,Mumbai
6556,40000000,700,Dombivli (West),1,Mumbai
6557,12500000,350,Santacruz East,1,Mumbai
6558,5300000,350,Santacruz East,1,Mumbai
6562,28000000,1250,Ulwe,2,Mumbai
6563,31700000,660,Kamothe,1,Mumbai
6564,4300000,645,Ulwe,1,Mumbai
6565,39000000,620,Ulwe,1,Mumbai
6566,7800000,610,Ulwe,1,Mumbai
6568,27300000,1166,Andheri West,2,Mumbai
6569,55000000,375,Thane West,1,Mumbai
6570,42000000,1509,Andheri West,3,Mumbai
6571,55000000,985,other,2,Mumbai
6572,40000000,1000,Thane West,2,Mumbai
6573,55000000,1144,Bhandup West,3,Mumbai
6577,42000000,850,matunga east,2,Mumbai
6579,11000000,850,matunga east,2,Mumbai
6580,107600000,850,matunga east,2,Mumbai
6581,11000000,850,matunga east,2,Mumbai
6582,107600000,1800,Borivali West,3,Mumbai
6583,79900000,1200,Borivali West,2,Mumbai
6586,14500000,1096,Kharghar,2,Mumbai
6589,32000000,1150,Dombivali,2,Mumbai
6591,22000000,1660,Ulwe,3,Mumbai
6592,13000000,700,Dombivali,1,Mumbai
6594,32500000,1113,Andheri East,3,Mumbai
6595,25500000,900,Kandivali West,2,Mumbai
6597,11500000,426,Andheri East,1,Mumbai
6598,21800000,451,Andheri East,1,Mumbai
6599,47900000,1124,Andheri East,3,Mumbai
6606,26000000,1050,Goregaon West,3,Mumbai
6607,31200000,1240,Ulwe,2,Mumbai
6610,30000000,880,Thane West,2,Mumbai
6612,7100000,838,Bandra East,2,Mumbai
6613,10800000,1520,Taloja,3,Mumbai
6616,9000000,375,Mira Road East,1,Mumbai
6617,30000000,1200,Panvel,2,Mumbai
6623,22000000,774,Dombivali,1,Mumbai
6625,13799999,1100,Kharghar,2,Mumbai
6627,9000000,518,Dombivali East,1,Mumbai
6629,14500000,1257,Kharghar,2,Mumbai
6631,11500000,635,Kalyan West,1,Mumbai
6632,4600000,600,Chembur,1,Mumbai
6634,49000000,1309,Kharghar,2,Mumbai
6635,36100000,1068,Malad West,2,Mumbai
6637,37500000,700,Kalyan West,1,Mumbai
6640,8500000,823,Parel,2,Mumbai
6644,4000000,825,Parel,2,Mumbai
6646,12000000,315,Dombivali,1,Mumbai
6649,13200000,740,Kalyan West,1,Mumbai
6650,8000000,740,Kalyan West,1,Mumbai
6652,29000000,975,Kandivali West,2,Mumbai
6653,37400000,1100,Nerul,2,Mumbai
6654,37400000,925,other,2,Mumbai
6655,19800000,850,Kalwa,2,Mumbai
6656,17500000,950,Koper Khairane,2,Mumbai
6658,13500000,940,Parel,2,Mumbai
6659,16500000,940,Parel,2,Mumbai
6660,22500000,926,other,2,Mumbai
6672,3100000,353,Vasai,1,Mumbai
6673,15900000,487,Vasai,2,Mumbai
6674,15600000,527,Vasai,2,Mumbai
6675,14800000,342,Vasai,1,Mumbai
6676,15100000,383,Vasai,1,Mumbai
6677,20299999,450,Dombivali East,1,Mumbai
6679,16500000,613,Mulund East,2,Mumbai
6682,18000000,799,Mulund East,3,Mumbai
6685,18000000,525,Borivali West,1,Mumbai
6688,14600000,675,Ulwe,1,Mumbai
6689,14600000,675,Ulwe,1,Mumbai
6696,18000000,560,Kandivali West,1,Mumbai
6697,23400000,560,Kandivali West,1,Mumbai
6698,23400000,650,Kandivali West,1,Mumbai
6699,8100000,650,Kandivali West,1,Mumbai
6705,16000000,990,Boisar,3,Mumbai
6707,13700000,750,Malad West,1,Mumbai
6714,10000000,600,Borivali West,1,Mumbai
6721,4500000,750,Malad West,1,Mumbai
6722,4500000,750,Malad West,1,Mumbai
6723,13000000,750,Malad West,1,Mumbai
6726,10000000,735,Kalyan West,1,Mumbai
6727,4700000,725,Kalyan West,1,Mumbai
6729,13000000,980,Malad West,1,Mumbai
6730,18200000,980,Malad West,1,Mumbai
6731,4100000,750,Malad West,1,Mumbai
6732,22000000,375,Thane West,1,Mumbai
6736,8000000,585,Mira Road East,1,Mumbai
6737,16000000,550,Bandra West,1,Mumbai
6738,20000000,868,Kalyan West,2,Mumbai
6739,25500000,868,Kalyan West,2,Mumbai
6740,33500000,676,Kalyan West,1,Mumbai
6743,25000000,888,Goregaon West,2,Mumbai
6746,49000000,550,Santacruz East,1,Mumbai
6747,47900000,650,Santacruz East,1,Mumbai
6748,36100000,1000,Santacruz East,3,Mumbai
6749,60500000,450,Santacruz East,1,Mumbai
6750,37400000,910,Malad East,2,Mumbai
6751,107600000,1177,Parel,3,Mumbai
6752,65500000,1043,Parel,3,Mumbai
6753,36800000,823,Parel,2,Mumbai
6754,79900000,1404,Parel,3,Mumbai
6755,12300000,940,Parel,2,Mumbai
6758,21700000,825,Parel,2,Mumbai
6766,17800000,650,Malad West,1,Mumbai
6767,13000000,650,Malad West,1,Mumbai
6768,16000000,650,Malad West,1,Mumbai
6769,13700000,650,Malad West,1,Mumbai
6770,13700000,750,Malad West,1,Mumbai
6777,5742000,600,Borivali West,1,Mumbai
6781,13000000,600,Borivali West,1,Mumbai
6782,5600000,725,Mira Road East,1,Mumbai
6784,15300000,880,Wadala,2,Mumbai
6787,16299999,600,Dahisar,1,Mumbai
6788,120000000,1100,Kalyan East,2,Mumbai
6789,138000000,688,Malad West,2,Mumbai
6795,25500000,650,Karanjade,1,Mumbai
6796,26700000,650,Karanjade,1,Mumbai
6797,27000000,680,Karanjade,1,Mumbai
6798,27000000,547,Ville Parle East,1,Mumbai
6799,28400000,547,Ville Parle East,1,Mumbai
6815,21700000,960,Mira Road East,2,Mumbai
6819,14500000,650,Bhandup West,1,Mumbai
6821,12000000,650,Santacruz East,1,Mumbai
6822,12000000,1000,Kharghar,2,Mumbai
6829,12000000,525,Dombivli (West),1,Mumbai
6830,7400000,645,Mira Road East,1,Mumbai
6831,11500000,645,Mira Road East,1,Mumbai
6832,16800000,600,Airoli,1,Mumbai
6833,26500000,500,Mulund West,1,Mumbai
6839,2330000,500,Taloja,1,Mumbai
6840,2500000,590,Virar West,1,Mumbai
6841,2350000,620,Nala Sopara,1,Mumbai
6842,2400000,580,Nala Sopara,1,Mumbai
6843,2400000,580,Nala Sopara,1,Mumbai
6844,2265000,585,Nala Sopara,1,Mumbai
6845,2925000,580,Nala Sopara,1,Mumbai
6846,2400000,485,Nala Sopara,1,Mumbai
6847,2300000,600,Nalasopara West,1,Mumbai
6848,2500000,594,Nala Sopara,1,Mumbai
6849,2200000,580,Nalasopara West,1,Mumbai
6850,2445000,760,Nala Sopara,1,Mumbai
6851,2500000,500,Nalasopara West,1,Mumbai
6852,2400000,560,Nalasopara West,1,Mumbai
6853,2450000,560,Nalasopara West,1,Mumbai
6854,2150000,550,Nala Sopara,1,Mumbai
6855,2700000,585,Nala Sopara,1,Mumbai
6856,2565000,590,Nalasopara West,1,Mumbai
6857,2450000,580,Nala Sopara,1,Mumbai
6858,2800000,560,Nala Sopara,1,Mumbai
6859,2600000,525,Nalasopara West,1,Mumbai
6860,2450000,572,Nala Sopara,1,Mumbai
6861,2450000,620,Nala Sopara,1,Mumbai
6862,2000000,560,Nala Sopara,1,Mumbai
6863,2600000,585,Nalasopara West,1,Mumbai
6864,2100000,545,Nala Sopara,1,Mumbai
6865,2515000,545,Nala Sopara,1,Mumbai
6866,2330000,560,Nala Sopara,1,Mumbai
6867,2250000,580,Nala Sopara,1,Mumbai
6868,2350000,545,Nala Sopara,1,Mumbai
6869,2600000,585,Nala Sopara,1,Mumbai
6871,2288000,590,Nala Sopara,1,Mumbai
6872,2350000,590,Nala Sopara,1,Mumbai
6873,2345000,594,Nala Sopara,1,Mumbai
6874,2300000,580,Nala Sopara,1,Mumbai
6875,2500000,585,Nala Sopara,1,Mumbai
6876,2400000,572,Vasai,1,Mumbai
6877,2500000,525,Nala Sopara,1,Mumbai
6878,2300000,525,Nala Sopara,1,Mumbai
6879,2400000,585,Nala Sopara,1,Mumbai
6880,2750000,550,Nala Sopara,1,Mumbai
6881,2300000,595,Nala Sopara,1,Mumbai
6882,2400000,594,Nala Sopara,1,Mumbai
6883,2750000,585,Nala Sopara,1,Mumbai
6884,2500000,580,Nala Sopara,1,Mumbai
6885,2150000,585,Nala Sopara,1,Mumbai
6886,2900000,585,Nala Sopara,1,Mumbai
6887,2255000,580,Nala Sopara,1,Mumbai
6888,2400000,585,Nala Sopara,1,Mumbai
6889,2310000,590,Nalasopara West,1,Mumbai
6890,2600000,525,Nala Sopara,1,Mumbai
6891,2700000,585,Nalasopara West,1,Mumbai
6892,2400000,580,Nalasopara West,1,Mumbai
6893,2320000,595,Nala Sopara,1,Mumbai
6894,2400000,590,Nala Sopara,1,Mumbai
6895,2650000,585,Nala Sopara,1,Mumbai
6896,4099000,615,Nalasopara West,1,Mumbai
6897,2700000,590,Nala Sopara,1,Mumbai
6898,2500000,570,Nala Sopara,1,Mumbai
6899,2200000,590,Nalasopara West,1,Mumbai
6900,2400000,520,Nalasopara West,1,Mumbai
6902,2150000,535,Nala Sopara,1,Mumbai
6903,2700000,445,Nala Sopara,1,Mumbai
6904,2250000,500,Nalasopara West,1,Mumbai
6905,2400000,550,Nala Sopara,1,Mumbai
6906,2150000,630,Nala Sopara,1,Mumbai
6907,2300000,580,Nala Sopara,1,Mumbai
6908,2250000,630,Nalasopara West,1,Mumbai
6909,2500000,525,Nalasopara West,1,Mumbai
6910,2600000,580,Nala Sopara,1,Mumbai
6911,2440000,500,Nalasopara West,1,Mumbai
6912,2500000,560,Nala Sopara,1,Mumbai
6913,2300000,580,Nala Sopara,1,Mumbai
6914,2600000,555,Nala Sopara,1,Mumbai
6915,2400000,620,Nala Sopara,1,Mumbai
6916,2400000,585,Nala Sopara,1,Mumbai
6917,2330000,545,Nala Sopara,1,Mumbai
6918,2550000,560,Nala Sopara,1,Mumbai
6919,2500000,620,Nala Sopara,1,Mumbai
6920,2265000,580,Nala Sopara,1,Mumbai
6921,2400000,580,Nala Sopara,1,Mumbai
6922,2925000,585,Nala Sopara,1,Mumbai
6923,2300000,355,Nalasopara West,1,Mumbai
6924,2400000,620,Nalasopara West,1,Mumbai
6925,2150000,580,Nalasopara West,1,Mumbai
6926,2200000,594,Nala Sopara,1,Mumbai
6927,2445000,760,Nala Sopara,1,Mumbai
6928,2450000,590,Nalasopara West,1,Mumbai
6929,2150000,575,Nala Sopara,1,Mumbai
6930,2156000,580,Nala Sopara,1,Mumbai
6931,2450000,550,Nala Sopara,1,Mumbai
6932,2700000,585,Nala Sopara,1,Mumbai
6933,2565000,585,Nala Sopara,1,Mumbai
6934,2500000,525,Nala Sopara,1,Mumbai
6935,2450000,580,Nala Sopara,1,Mumbai
6936,2800000,560,Nala Sopara,1,Mumbai
6937,2600000,572,Nala Sopara,1,Mumbai
6938,2400000,620,Nala Sopara,1,Mumbai
6939,2305000,555,Nala Sopara,1,Mumbai
6940,2450000,560,Nala Sopara,1,Mumbai
6941,2515000,585,Nalasopara West,1,Mumbai
6942,13000000,545,Nala Sopara,1,Mumbai
6943,13000000,594,Nala Sopara,1,Mumbai
6944,31000000,555,Nala Sopara,1,Mumbai
6945,14500000,545,Nala Sopara,1,Mumbai
6946,22000000,710,Nala Sopara,2,Mumbai
6947,14000000,750,Jogeshwari West,1,Mumbai
6948,14600000,750,Jogeshwari West,1,Mumbai
6952,9800000,1225,Belapur,2,Mumbai
6954,42600000,720,Kandivali West,1,Mumbai
6956,4000000,380,Mira Road East,1,Mumbai
6957,16000000,600,Goregaon West,1,Mumbai
